difficulty,sentence
B1,Elle achète des fruits pour la salade.
B1,ElLa achète des fruits pour La saLade.
B1,Elle trouve que le film est intéressant.
B1,Il trouve que le fIlm est intéressant.
B1,Il trouve que La film est intéressant.
B1,"S'il fait chaud, il va à la plage."
B1,"S'Il fait chaud, Il va à la plage."
B1,"S'il fait chaud, elLa va à La pLage."
B1,Nous irons au théâtre demain.
B1,Nous irons au théâtre demain.
B1,Nous irons au théâtre demain.
B1,Elle achète des fruits pour la salade.
B1,Elle achète des fruits pour la salade.
B1,ElLa achète des fruits pour La saLade.
B1,Elle trouve que le film est intéressant.
B1,Il trouve que le fIlm est intéressant.
B1,Il trouve que La film est intéressant.
B1,"S'il fait chaud, il va à la plage."
B1,"S'Il fait chaud, Il va à la plage."
B1,"S'il fait chaud, elLa va à La pLage."
B1,Nous irons au théâtre demain.
B1,Nous irons au théâtre demain.
B1,Nous irons au théâtre demain.
B1,Elle achète des fruits pour la salade.
B1,Elle achète des fruits pour la salade.
B1,ElLa achète des fruits pour La saLade.
B1,Elle trouve que le film est intéressant.
B1,Il trouve que le fIlm est intéressant.
B1,Il trouve que La film est intéressant.
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
C1,"Même si il est fatiguée, il termine son livre."
C1,"Même si Il est fatiguée, Il termine son livre."
C1,"Même si elLa est fatiguée, elLa termine son livre."
C1,Elle est possible qu'il vienne si il trouve le temps.
C1,Il est possible qu'Il vienne si Il trouve le temps.
C1,Il est possibLa qu'elLa vienne si elLa trouve La temps.
C1,"Bien que le travail soit difficile, il reste motivé."
C1,"Bien que le travaIl soit difficIle, Il reste motivé."
C1,"Bien que La travail soit difficiLa, il reste motivé."
C1,"Pour autant que je sache, ils seront à la réunion."
C1,"Pour autant que je sache, Ils seront à la réunion."
C1,"Pour autant que je sache, ils seront à La réunion."
